,Player,Team,Pos,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
77,Joe Toussaint,TXTCH,PG,9,33.8,14.7,4.8,9.9,0.483,1.3,4.4,0.3,3.8,4.1,0.919,0.3,2.1,2.4,3.9,1.0,0.0,1.4,1.8
78,Vasean Allette,ODU,PG,9,29.2,14.7,6.2,12.9,0.483,1.1,3.4,0.323,1.1,2.1,0.526,0.8,4.0,4.8,2.3,1.7,0.0,2.0,1.2
79,Darius Johnson,UCF,PG,9,32.1,14.7,5.0,12.2,0.409,1.6,4.9,0.318,3.1,4.1,0.757,0.3,3.1,3.4,3.6,2.2,0.1,3.4,2.7
80,Walyn Napper,LONG,PG,12,29.2,14.5,5.8,11.5,0.5,0.5,2.8,0.176,2.5,3.8,0.667,1.1,2.8,3.9,4.8,1.8,0.4,2.5,1.6
81,Isaiah Hill,FRSNO,PG,9,35.3,14.4,4.8,10.7,0.448,2.1,5.3,0.396,2.8,3.1,0.893,0.3,2.8,3.1,5.8,1.2,0.2,2.7,2.0
82,Ishmael Leggett,PITT,PG,10,30.1,14.4,4.8,11.1,0.432,1.2,3.7,0.324,3.6,4.0,0.9,1.7,4.7,6.4,2.8,1.3,0.2,1.8,1.7
83,Darius Beane,LIND,PG,10,29.2,14.4,5.7,11.2,0.509,0.0,0.4,0.0,3.0,4.4,0.682,0.9,3.1,4.0,2.0,1.2,0.0,2.2,3.3
84,"Chico Carter, Jr.",DEP,PG,9,35.7,14.3,4.8,9.6,0.5,2.1,4.8,0.442,2.7,3.4,0.774,0.6,3.1,3.7,4.8,0.9,0.4,2.1,1.9
85,Kenyon Giles,RADF,PG,12,29.8,14.3,5.8,14.0,0.417,1.4,5.1,0.279,1.3,1.4,0.882,0.2,1.6,1.8,3.0,1.0,0.0,2.1,1.6
86,Trey Moss,W&M,PG,11,31.6,14.3,4.8,11.9,0.405,1.4,4.8,0.283,3.3,4.5,0.735,0.8,2.9,3.7,2.8,0.6,0.0,1.5,1.6
87,Kellen Tynes,MAINE,PG,12,34.9,14.3,5.1,10.6,0.48,0.7,2.3,0.296,3.4,5.1,0.672,0.3,3.2,3.4,3.7,1.9,0.2,2.2,2.3
88,Marcus Greene,HCU,PG,8,31.5,14.3,5.8,11.8,0.489,1.4,3.4,0.407,1.4,1.6,0.846,0.4,3.8,4.1,3.3,0.9,0.1,1.9,1.9
89,RayJ Dennis,BAYL,PG,9,28.6,14.2,5.8,10.7,0.542,1.2,2.8,0.44,1.4,1.7,0.867,0.4,3.6,4.0,6.6,1.4,0.1,3.6,2.2
90,Quimari Peterson,ETSU,PG,9,33.4,14.2,5.4,13.7,0.398,1.0,4.1,0.243,2.3,3.0,0.778,1.2,3.1,4.3,3.6,1.9,0.4,2.0,2.2
91,Deuce Turner,SAND,PG,11,25.4,14.2,5.2,11.5,0.452,1.9,5.2,0.368,1.9,2.3,0.84,0.1,2.4,2.5,1.9,1.2,0.1,1.8,0.6
92,Julien Soumaoro,GWU,PG,11,26.8,14.2,4.9,11.7,0.419,2.1,6.0,0.348,2.3,3.6,0.625,0.2,1.3,1.5,2.2,1.3,0.1,1.7,2.1
93,Rob Dillingham,UK,PG,9,22.8,14.1,5.2,11.0,0.475,2.1,4.1,0.514,1.6,2.1,0.737,0.3,3.9,4.2,4.9,1.6,0.0,1.8,2.2
94,Geronimo Rubio De La Rosa,COM,PG,11,29.5,14.1,4.0,9.3,0.431,2.2,5.1,0.429,3.9,4.4,0.896,0.6,2.9,3.5,2.6,1.6,0.0,2.1,0.7
95,Tre Dinkins,CAN,PG,11,32.3,14.1,4.2,11.3,0.371,3.0,7.3,0.413,2.7,3.1,0.882,0.4,2.5,2.8,4.0,1.0,0.3,2.2,1.7
96,Braeden Smith,COLGT,PG,10,28.1,14.0,4.6,11.0,0.418,1.7,4.9,0.347,3.1,3.6,0.861,0.0,5.7,5.7,5.5,2.0,0.0,2.4,1.6
97,Christian Tucker,UTSA,PG,10,31.8,14.0,3.7,8.6,0.43,1.3,3.2,0.406,5.3,6.1,0.869,0.7,2.4,3.1,5.7,1.2,0.1,2.3,3.0
